,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16
92,1.1265295,-0.2785858,0.2657485,0.6015897,0.8165729,0.224258,-0.30093336,-0.24250852,0.94171935,0.43192852,0.36658695,-0.74061936,-0.28269124,-0.03774073,-0.08506801,-0.2815589
93,1.0211687,-0.17661281,0.13227424,0.44820276,0.7445424,0.1029958,-0.18530989,-0.24250852,0.85491514,0.25634858,0.23802035,-0.6694657,-0.28269124,-0.03774073,-0.08506801,-0.16024907
94,1.0446202,-0.09697749,0.025686206,0.34342194,0.7682759,0.00062496564,-0.09412502,-0.24250852,0.8816296,0.124233186,0.14248073,-0.68811405,-0.28269124,-0.03774073,-0.08506801,-0.059880745
95,1.0571424,-0.176884,0.13142294,0.453636,0.7719904,0.10031142,-0.18496153,-0.24250852,0.8867116,0.2581286,0.23988412,-0.6945572,-0.28269124,-0.03774073,-0.08506801,-0.15804593
96,1.0398207,-0.20008786,0.1631122,0.4827227,0.75693166,0.13122277,-0.21190886,-0.24250852,0.86985767,0.29655862,0.26743907,-0.6819011,-0.28269124,-0.03774073,-0.08506801,-0.18842094
97,1.0425649,-0.12706454,0.06546881,0.3837029,0.7643731,0.03826919,-0.12837738,-0.24250852,0.8772436,0.17371859,0.17825061,-0.68578184,-0.28269124,-0.03774073,-0.08506801,-0.09682914
98,1.0931822,-0.203311,0.16618448,0.49385712,0.7961447,0.13056222,-0.21552746,-0.24250852,0.9169102,0.30304062,0.27208778,-0.7194513,-0.28269124,-0.03774073,-0.08506801,-0.18913658
99,1.0075278,-0.20448413,0.16973084,0.48292047,0.7308215,0.13781902,-0.21777274,-0.24250852,0.8401162,0.30045113,0.26890174,-0.6594089,-0.28269124,-0.03774073,-0.08506801,-0.19503574
100,1.0409492,-0.20457345,0.16893087,0.4876249,0.7560461,0.13517177,-0.21750818,-0.24250852,0.86976767,0.3017827,0.27020583,-0.6828344,-0.28269124,-0.03774073,-0.08506801,-0.19302526
101,0.88207376,-0.050354745,-0.03303388,0.2557133,0.64755094,-0.04840256,-0.042521045,-0.19154115,0.73881525,0.036230937,0.07582424,-0.5755126,-0.28269124,-0.03774073,-0.08506801,-0.009372622
102,1.0262318,-0.0998111,0.029036297,0.34335253,0.7533655,0.0031522852,-0.09724929,-0.24250852,0.86364955,0.12542206,0.14249796,-0.67509824,-0.28269124,-0.03774073,-0.08506801,-0.062397737
103,0.8953879,-0.12760259,0.06883996,0.36267614,0.6525984,0.04776194,-0.12986387,-0.24250852,0.7446569,0.16596869,0.17059478,-0.5824011,-0.28269124,-0.03774073,-0.08506801,-0.10383105
104,0.96192306,-0.18062216,0.13761961,0.44386774,0.69893837,0.10940438,-0.18967535,-0.24250852,0.7999134,0.25715214,0.23746772,-0.6275623,-0.28269124,-0.03774073,-0.08506801,-0.16564375
105,0.91586816,-0.18111193,0.13941215,0.43782794,0.6638054,0.11323709,-0.19077797,-0.24250852,0.7587074,0.2556273,0.23564906,-0.5953042,-0.28269124,-0.03774073,-0.08506801,-0.1687677
106,0.85548645,-0.2350632,0.21239103,0.5024225,0.6141627,0.18547744,-0.25272906,-0.24250852,0.700616,0.3427696,0.2981969,-0.55136716,-0.28269124,-0.03774073,-0.08506801,-0.23874657
107,0.8128914,-0.3148906,0.3198269,0.6045347,0.5755833,0.28936857,-0.34452793,-0.24250852,0.6567927,0.47408572,0.39269292,-0.5193897,-0.28269124,-0.03774073,-0.08506801,-0.3404929
108,0.7144917,-0.39169937,0.42460772,0.6951639,0.49555764,0.3941047,-0.43315926,-0.24250852,0.5636444,0.59876233,0.48213562,-0.44824177,-0.28269124,-0.03774073,-0.08506801,-0.44188294
109,0.8171839,-0.47312608,0.5309205,0.8198563,0.5664727,0.4894242,-0.5257593,-0.24250852,0.6494983,0.7391252,0.5846589,-0.5182543,-0.28269124,-0.03774073,-0.08506801,-0.5378196
110,0.6939415,-0.50023216,0.570078,0.8393117,0.47116035,0.5330209,-0.55794835,-0.24250852,0.5376844,0.7791618,0.61225426,-0.43108797,-0.28269124,-0.03774073,-0.08506801,-0.5786357
111,0.7263088,-0.4206504,0.46309525,0.73608565,0.50206786,0.4300816,-0.46641394,-0.24250852,0.57226837,0.64771295,0.51759636,-0.45583788,-0.28269124,-0.03774073,-0.08506801,-0.47758773
112,0.6685233,-0.338575,0.35528803,0.61658055,0.4645525,0.33070564,-0.3731862,-0.24250852,0.526739,0.50813484,0.41574144,-0.41758165,-0.28269124,-0.03774073,-0.08506801,-0.37883952
113,0.62258273,-0.10330184,0.042957347,0.2909855,0.44783965,0.037033927,-0.10464788,-0.24250852,0.5028528,0.112874895,0.12879449,-0.39172772,-0.28269124,-0.03774073,-0.08506801,-0.08865236
114,0.7670814,-0.36472508,0.38734272,0.66620207,0.53769386,0.35629678,-0.40168154,-0.24250852,0.6125764,0.5562932,0.4521696,-0.4857878,-0.28269124,-0.03774073,-0.08506801,-0.4053828
115,0.7044083,-0.18324687,0.14673784,0.41102022,0.5042353,0.13126624,-0.19456539,-0.24250852,0.569489,0.24963963,0.2292365,-0.44664982,-0.28269124,-0.03774073,-0.08506801,-0.18246534
116,0.80446786,-0.3391214,0.35136986,0.6369768,0.56892055,0.320515,-0.3710552,-0.24250852,0.64714974,0.514844,0.42320663,-0.51227176,-0.28269124,-0.03774073,-0.08506801,-0.37011716
117,0.81005937,-0.23335227,0.21008086,0.494425,0.5815969,0.18639514,-0.24977756,-0.24250852,0.6596805,0.33836073,0.29561546,-0.51892984,-0.28269124,-0.03774073,-0.08506801,-0.23787022
118,0.86898035,-0.26005682,0.24376741,0.539023,0.6245508,0.21536116,-0.27929324,-0.24250852,0.7099721,0.38535744,0.33062443,-0.55933607,-0.28269124,-0.03774073,-0.08506801,-0.26713333
119,0.8679323,-0.23432213,0.20900214,0.503953,0.62609786,0.18242368,-0.24940509,-0.24250852,0.7104975,0.34192213,0.29936737,-0.55910075,-0.28269124,-0.03774073,-0.08506801,-0.23440215
120,0.8157353,-0.31115654,0.31247866,0.60112935,0.5811929,0.28352356,-0.3374235,-0.24250852,0.6583856,0.4685113,0.39083555,-0.5202722,-0.28269124,-0.03774073,-0.08506801,-0.33289045
